7,0,5
16,0,5
7,1,3
8,1,11
15,1,12
16,1,1
7,2,3
8,2,1
15,2,3
16,2,1
7,3,3
8,3,1
15,3,3
16,3,1
7,4,3
8,4,1
18,4,2
19,4,2
20,4,2
21,4,2
22,4,11
7,5,3
8,5,1
15,5,3
18,5,0
19,5,0
20,5,0
21,5,0
22,5,0
23,5,8
1,6,12
2,6,2
3,6,2
4,6,2
5,6,2
8,6,1
17,6,9	
0,7,6
9,7,2
10,7,4
13,7,4
14,7,4
16,7,1
1,8,9
2,8,0
3,8,0
4,8,0
5,8,0
7,8,0
9,8,1
15,8,3
8,9,3
9,9,1
15,9,3
16,9,1
8,10,3
9,10,1
15,10,3
17,10,11
8,11,3
9,11,1
15,11,3
18,11,4
19,11,4
21,11,4
9,12,1
15,12,3
17,12,3
8,13,3
9,13,1
15,13,3
17,13,3
8,14,3
9,14,1
15,14,3
17,14,3
5,15,12
6,15,2
7,15,2
10,15,2
11,15,2
12,15,2
13,15,2
14,15,2
1,16,12
2,16,2
3,16,2
4,16,2
8,16,0
10,16,0
11,16,0
12,16,0
13,16,0
15,16,0
17,16,1
0,17,6
1,17,0
2,17,0
3,17,0
5,17,0
7,17,1
16,17,3
18,17,2
19,17,2
20,17,2
21,17,2
22,17,11
6,18,3
7,18,1
16,18,3
19,18,0
20,18,0
21,18,0
22,18,0
23,18,8
6,19,3
6,20,3
7,20,1
16,20,3
17,20,1
6,21,3
7,21,1
16,21,3
17,21,1
6,22,9
7,22,1
16,22,3
17,22,1
7,23,9
8,23,4
9,23,11
14,23,11
15,23,4
16,23,10
9,24,7
14,23,7
